satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
1,2,4,4,3,3,3,Non,16 %,53,F,15427,Marié(e),Commercial,Senior Manager,2,31,25,8,Non,0,3,1,2,4,Infra & Cloud,Occasionnel,3,7
4,3,1,4,3,3,3,Oui,11 %,38,M,3944,Célibataire,Consulting,Assistant de Direction,5,6,3,2,Non,0,3,1,2,3,Infra & Cloud,Occasionnel,1,2
1,4,2,3,4,2,3,Non,18 %,24,F,4011,Divorcé(e),Consulting,Tech Lead,0,5,4,2,Non,1,5,1,11,2,Autre,Aucun,1,3
3,2,1,1,2,3,4,Non,23 %,36,M,3407,Célibataire,Commercial,Représentant Commercial,7,10,5,3,Oui,0,4,1,9,4,Infra & Cloud,Occasionnel,0,3
1,3,3,2,3,3,3,Non,11 %,34,F,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,Non,0,4,1,7,4,Infra & Cloud,Occasionnel,2,11
3,3,1,4,4,3,3,Non,14 %,21,M,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,Non,0,6,1,15,2,Infra & Cloud,Occasionnel,0,0
2,3,1,1,3,3,3,Non,11 %,34,M,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,Oui,0,2,1,6,1,Transformation Digitale,Occasionnel,1,3
3,3,5,3,4,2,3,Non,11 %,53,F,19094,Divorcé(e),Consulting,Senior Manager,4,26,14,13,Non,1,3,1,5,3,Autre,Occasionnel,4,8
2,1,1,1,2,3,4,Oui,22 %,32,F,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,Oui,0,5,1,16,1,Infra & Cloud,Frequent,6,7
3,3,2,2,4,3,3,Non,11 %,42,M,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,Non,1,2,1,8,4,Marketing,Occasionnel,4,2
1,2,3,4,4,3,3,Non,14 %,44,F,10248,Marié(e),Consulting,Manager,3,24,22,6,Non,1,4,1,7,4,Transformation Digitale,Occasionnel,5,17
2,3,5,1,4,2,3,Non,12 %,46,F,18947,Célibataire,Commercial,Senior Manager,3,22,2,2,Non,0,2,1,2,4,Marketing,Occasionnel,2,1
3,3,1,4,4,3,3,Non,11 %,33,M,2496,Célibataire,Consulting,Consultant,4,7,1,1,Non,0,3,1,2,3,Transformation Digitale,Occasionnel,0,0
4,3,2,4,4,4,3,Oui,13 %,44,M,6465,Marié(e),Consulting,Manager,2,9,4,2,Non,0,5,1,10,4,Autre,Occasionnel,1,3
4,2,1,3,1,3,3,Non,13 %,30,M,2206,Célibataire,Consulting,Consultant,1,10,10,0,Non,0,5,1,9,2,Transformation Digitale,Occasionnel,1,8
4,3,2,4,3,4,3,Non,14 %,39,M,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,Oui,1,6,1,5,3,Entrepreunariat,Occasionnel,0,0
2,3,1,4,1,2,3,Oui,16 %,24,M,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,Oui,1,2,1,1,3,Transformation Digitale,Occasionnel,2,0
4,4,1,3,4,2,3,Non,12 %,43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,Non,2,3,1,2,2,Transformation Digitale,Occasionnel,1,4
1,2,1,3,3,3,3,Oui,14 %,50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,Oui,0,2,1,3,2,Marketing,Occasionnel,0,2
4,3,1,4,1,3,3,Non,13 %,35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,Non,0,3,1,2,3,Marketing,Occasionnel,2,2
2,2,1,1,4,4,3,Oui,14 %,36,F,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,Non,1,3,1,5,4,Infra & Cloud,Occasionnel,0,0
3,4,2,1,1,3,3,Non,19 %,33,F,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,Non,2,3,1,1,3,Infra & Cloud,Frequent,1,3
3,3,1,4,3,3,3,Non,12 %,35,M,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,Non,1,3,1,4,2,Autre,Occasionnel,0,0
4,3,1,1,4,3,3,Non,13 %,27,F,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,Non,1,6,1,2,4,Infra & Cloud,Occasionnel,0,0
1,1,1,3,3,2,3,Non,12 %,26,M,2293,Célibataire,Consulting,Consultant,1,1,1,0,Oui,0,2,1,25,3,Infra & Cloud,Occasionnel,0,1
4,3,3,3,4,3,3,Non,15 %,27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,Non,0,0,1,8,3,Infra & Cloud,Frequent,1,7
3,3,2,4,4,3,4,Non,23 %,30,F,4011,Célibataire,Consulting,Consultant,1,12,12,8,Non,0,2,1,1,2,Transformation Digitale,Frequent,3,7
2,3,5,3,4,3,3,Non,12 %,41,F,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,Oui,0,0,1,12,3,Entrepreunariat,Occasionnel,15,8
2,3,2,3,3,3,4,Non,20 %,34,M,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,Non,0,2,1,23,4,Marketing,Aucun,8,7
2,3,1,2,1,3,4,Non,21 %,37,M,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,Non,0,1,1,19,2,Infra & Cloud,Occasionnel,0,0
1,3,2,4,3,3,4,Oui,21 %,46,M,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,Non,0,4,1,5,4,Marketing,Frequent,0,8
4,4,1,4,4,3,3,Non,19 %,35,M,2269,Marié(e),Consulting,Consultant,1,1,1,0,Non,0,2,1,8,1,Infra & Cloud,Occasionnel,0,1
1,2,3,3,4,3,3,Oui,13 %,48,M,5381,Célibataire,Consulting,Consultant,9,23,1,0,Oui,0,2,1,1,2,Infra & Cloud,Occasionnel,0,0
3,3,1,3,3,2,3,Oui,13 %,28,M,3441,Célibataire,Consulting,Consultant,1,2,2,2,Oui,0,3,1,5,4,Entrepreunariat,Occasionnel,2,2
2,3,2,1,3,2,4,Oui,21 %,44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,Non,1,2,1,1,5,Marketing,Occasionnel,1,3
3,2,3,1,3,3,3,Oui,13 %,35,M,9884,Marié(e),Consulting,Manager,2,10,4,0,Non,1,3,1,11,2,Transformation Digitale,Aucun,2,3
3,2,2,4,3,2,3,Oui,19 %,26,F,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,Non,1,2,1,23,3,Marketing,Occasionnel,0,0
1,3,3,4,3,3,3,Oui,12 %,33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,Non,0,1,1,1,2,Infra & Cloud,Frequent,8,12
2,3,3,1,4,2,4,Non,22 %,35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,Non,1,3,1,18,5,Infra & Cloud,Frequent,1,8
3,3,1,1,3,3,3,Oui,15 %,35,F,4014,Marié(e),Consulting,Consultant,3,4,2,2,Non,1,3,1,23,4,Transformation Digitale,Occasionnel,2,2
4,3,2,4,4,2,4,Non,22 %,31,M,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,Non,1,3,1,7,4,Infra & Cloud,Occasionnel,1,7
1,2,2,3,3,4,3,Non,18 %,37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,Non,1,2,1,1,4,Infra & Cloud,Occasionnel,0,7
1,3,2,4,2,3,4,Oui,22 %,32,M,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,Non,1,3,1,1,3,Transformation Digitale,Occasionnel,7,8
4,3,2,4,4,3,3,Non,11 %,38,F,2406,Célibataire,Consulting,Consultant,1,10,10,3,Non,0,2,1,29,5,Infra & Cloud,Frequent,9,9
2,2,5,3,4,2,3,Oui,12 %,50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,Non,1,2,1,7,2,Transformation Digitale,Occasionnel,13,8
1,3,3,1,4,2,3,Non,11 %,59,F,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,Non,0,3,1,25,3,Infra & Cloud,Occasionnel,7,9
3,3,3,3,2,3,3,Non,13 %,36,F,10096,Divorcé(e),Consulting,Manager,1,17,17,14,Non,3,2,1,8,3,Entrepreunariat,Occasionnel,12,8
4,3,4,3,3,3,3,Oui,14 %,55,F,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,Non,3,2,1,8,3,Transformation Digitale,Occasionnel,0,2
2,2,2,2,3,3,3,Non,13 %,36,M,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,Non,0,3,1,11,3,Infra & Cloud,Frequent,0,3
2,3,3,1,3,3,3,Non,17 %,45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,Non,1,2,1,7,3,Infra & Cloud,Occasionnel,0,0
2,3,1,1,4,2,3,Non,13 %,35,M,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,Non,1,2,1,1,3,Transformation Digitale,Frequent,1,2
4,2,1,3,1,2,3,Oui,17 %,36,M,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,Oui,1,0,1,9,3,Transformation Digitale,Occasionnel,0,0
1,2,2,3,4,2,3,Non,11 %,59,F,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,Non,0,2,1,1,1,Infra & Cloud,Frequent,1,3
3,3,1,2,4,3,4,Non,23 %,29,M,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,Non,1,3,1,2,3,Infra & Cloud,Occasionnel,0,4
3,3,1,2,2,3,3,Non,17 %,31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,Non,0,4,1,1,4,Transformation Digitale,Occasionnel,1,0
2,3,2,2,2,3,3,Non,17 %,32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,Non,2,3,1,1,3,Infra & Cloud,Occasionnel,0,9
2,4,1,4,2,3,3,Non,12 %,36,F,3038,Marié(e),Consulting,Consultant,3,5,1,0,Non,0,3,1,6,3,Infra & Cloud,Occasionnel,0,0
3,3,2,4,4,3,4,Non,23 %,31,F,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,Non,0,2,1,8,4,Infra & Cloud,Occasionnel,1,8
3,2,2,1,2,3,3,Non,14 %,35,M,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,Non,0,2,1,1,4,Marketing,Occasionnel,2,8
4,3,3,1,2,4,3,Oui,14 %,45,M,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,Non,0,3,1,6,4,Autre,Occasionnel,0,0
1,3,3,3,1,4,3,Non,13 %,37,M,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,Non,0,3,1,7,4,Transformation Digitale,Occasionnel,0,2
2,3,2,2,4,3,4,Oui,22 %,46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,Non,1,2,1,5,2,Transformation Digitale,Occasionnel,0,2
4,2,2,4,3,2,3,Oui,12 %,30,M,5126,Marié(e),Consulting,Consultant,1,10,10,8,Non,2,1,1,1,1,Infra & Cloud,Occasionnel,3,0
2,2,1,3,1,3,3,Non,18 %,35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,Non,0,3,1,1,3,Transformation Digitale,Occasionnel,0,4
1,3,3,4,4,3,3,Non,14 %,55,M,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,Non,1,4,1,1,2,Infra & Cloud,Occasionnel,1,0
2,1,2,4,4,3,3,Oui,12 %,38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,Non,3,3,1,6,3,Transformation Digitale,Aucun,1,9
1,3,2,2,3,3,3,Non,15 %,34,M,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,Non,0,2,1,1,2,Transformation Digitale,Occasionnel,1,3
4,1,3,4,1,2,3,Non,11 %,56,M,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,Non,0,3,1,7,3,Infra & Cloud,Occasionnel,0,2
3,3,1,1,3,3,3,Non,13 %,23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,Non,1,3,1,2,1,Entrepreunariat,Occasionnel,0,0
4,3,1,4,2,3,4,Non,23 %,51,M,2075,Marié(e),Consulting,Consultant,3,10,4,2,Non,2,4,1,9,4,Infra & Cloud,Occasionnel,0,3
3,2,2,4,1,3,3,Non,19 %,30,M,4152,Marié(e),Consulting,Manager,1,11,11,10,Non,3,3,1,2,3,Infra & Cloud,Occasionnel,10,8
3,2,3,4,4,3,3,Non,16 %,46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,Oui,0,3,1,9,2,Transformation Digitale,Occasionnel,4,7
3,2,4,2,4,2,4,Non,22 %,40,M,13503,Marié(e),Consulting,Manager,1,22,22,3,Non,1,3,1,1,4,Infra & Cloud,Frequent,11,11
3,3,2,4,4,1,4,Oui,22 %,51,M,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,Non,0,2,1,21,4,Marketing,Occasionnel,1,0
3,2,2,2,2,2,3,Oui,12 %,30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,Non,3,4,1,4,2,Transformation Digitale,Occasionnel,2,7
3,2,3,1,3,2,3,Oui,13 %,46,M,10673,Marié(e),Consulting,Manager,2,21,10,9,Non,1,5,1,1,3,Transformation Digitale,Frequent,9,5
2,3,2,3,1,3,3,Non,16 %,32,M,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,Non,0,0,1,6,4,Transformation Digitale,Occasionnel,5,7
1,3,3,3,1,1,3,Non,12 %,54,F,13549,Marié(e),Consulting,Directeur Technique,9,16,4,3,Non,1,5,1,2,4,Entrepreunariat,Occasionnel,0,3
1,3,2,3,1,2,4,Non,21 %,24,F,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,Non,1,2,1,3,2,Autre,Occasionnel,0,2
2,3,2,3,2,4,3,Non,15 %,28,M,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,Non,0,3,1,4,3,Transformation Digitale,Aucun,0,4
4,3,4,3,3,2,3,Non,13 %,58,M,13872,Célibataire,Commercial,Cadre Commercial,0,38,37,10,Non,0,1,1,10,4,Transformation Digitale,Occasionnel,1,8
2,3,2,2,3,4,3,Non,12 %,44,M,2042,Marié(e),Consulting,Consultant,4,17,3,2,Non,1,3,1,23,3,Transformation Digitale,Aucun,1,2
3,3,1,1,4,3,4,Oui,22 %,37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,Oui,0,3,1,6,4,Ressources Humaines,Occasionnel,0,2
4,3,1,1,4,3,3,Non,13 %,32,M,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,Non,0,2,1,1,1,Infra & Cloud,Occasionnel,0,0
4,2,1,4,2,3,3,Oui,18 %,20,F,2926,Célibataire,Consulting,Consultant,1,1,1,0,Oui,0,5,1,6,3,Infra & Cloud,Frequent,1,0
1,3,2,3,3,3,3,Non,14 %,34,F,4809,Célibataire,Consulting,Assistant de Direction,1,16,16,13,Non,0,3,1,6,4,Autre,Occasionnel,2,10
3,2,2,4,4,4,3,Non,14 %,37,M,5163,Divorcé(e),Consulting,Manager,5,17,1,0,Non,1,2,1,2,2,Infra & Cloud,Aucun,0,0
3,2,5,4,4,3,4,Non,21 %,59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,30,3,2,Non,1,3,1,2,4,Ressources Humaines,Aucun,2,2
1,3,5,2,1,2,3,Oui,19 %,50,F,18172,Marié(e),Consulting,Directeur Technique,3,28,8,3,Non,0,1,1,1,3,Infra & Cloud,Frequent,0,7
3,2,2,3,4,3,3,Oui,11 %,25,M,5744,Célibataire,Commercial,Cadre Commercial,1,6,6,4,Oui,0,1,1,5,3,Marketing,Occasionnel,0,3
4,2,1,4,3,3,3,Non,11 %,25,M,2889,Marié(e),Consulting,Assistant de Direction,1,2,2,2,Non,2,2,1,7,1,Transformation Digitale,Occasionnel,2,1
2,3,1,4,3,3,3,Non,15 %,22,F,2871,Célibataire,Consulting,Consultant,1,1,0,0,Non,0,5,1,15,3,Transformation Digitale,Occasionnel,0,0
1,2,3,1,3,2,4,Non,20 %,51,F,7484,Célibataire,Consulting,Manager,3,23,13,12,Non,0,1,1,1,4,Transformation Digitale,Frequent,12,8
1,1,2,3,4,3,4,Oui,24 %,34,M,6074,Célibataire,Consulting,Consultant,1,9,9,7,Oui,0,3,1,7,3,Infra & Cloud,Frequent,0,6
4,4,4,4,3,3,3,Oui,12 %,54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,23,5,3,Non,0,3,1,26,3,Ressources Humaines,Aucun,4,4
2,3,1,3,3,3,3,Non,12 %,24,M,2774,Marié(e),Consulting,Consultant,0,6,5,3,Non,1,2,1,18,1,Infra & Cloud,Occasionnel,1,2
3,2,2,2,3,3,3,Non,15 %,34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,12,1,0,Non,1,3,1,6,4,Infra & Cloud,Occasionnel,0,0
3,3,3,4,1,3,3,Non,12 %,37,M,7428,Célibataire,Commercial,Cadre Commercial,2,12,5,3,Non,0,3,1,3,3,Infra & Cloud,Occasionnel,1,3
3,2,3,1,4,3,3,Non,12 %,34,F,11631,Célibataire,Consulting,Senior Manager,2,14,11,10,Non,0,6,1,5,3,Transformation Digitale,Occasionnel,5,8
2,3,3,4,3,3,3,Non,14 %,36,F,9738,Marié(e),Commercial,Cadre Commercial,0,10,9,7,Non,1,6,1,11,2,Entrepreunariat,Frequent,2,8
1,3,1,4,1,3,4,Non,22 %,36,F,2835,Divorcé(e),Consulting,Consultant,5,7,1,0,Non,1,2,1,3,2,Infra & Cloud,Occasionnel,0,0
3,3,4,4,4,4,3,Oui,12 %,43,M,16959,Marié(e),Commercial,Senior Manager,1,25,25,12,Non,2,3,1,26,2,Infra & Cloud,Frequent,4,12
1,1,1,3,3,2,4,Non,25 %,30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,10,7,Non,3,2,1,23,3,Infra & Cloud,Frequent,0,9
3,3,2,2,1,4,3,Non,13 %,33,M,6146,Marié(e),Commercial,Cadre Commercial,0,8,7,7,Non,1,2,1,22,2,Marketing,Aucun,0,7
2,3,1,2,1,3,3,Oui,18 %,56,F,4963,Marié(e),Consulting,Assistant de Direction,9,7,5,4,Oui,3,2,1,14,4,Infra & Cloud,Occasionnel,4,3
1,3,5,3,3,3,3,Non,13 %,51,M,19537,Célibataire,Consulting,Directeur Technique,7,23,20,18,Non,0,5,1,6,3,Infra & Cloud,Occasionnel,15,15
2,1,2,3,2,2,3,Oui,18 %,31,M,6172,Marié(e),Commercial,Cadre Commercial,4,12,7,7,Oui,0,3,1,6,4,Infra & Cloud,Occasionnel,7,7
3,2,1,2,3,2,3,Non,19 %,26,F,2368,Marié(e),Consulting,Assistant de Direction,1,5,5,4,Non,0,3,1,6,3,Autre,Occasionnel,4,3
4,3,3,4,4,2,3,Non,12 %,58,F,10312,Marié(e),Consulting,Manager,1,40,40,10,Oui,1,3,1,23,4,Transformation Digitale,Occasionnel,15,6
4,3,1,3,4,2,3,Oui,19 %,19,M,1675,Célibataire,Commercial,Représentant Commercial,1,0,0,0,Oui,0,2,1,22,1,Marketing,Occasionnel,0,0
3,3,1,4,3,3,3,Non,14 %,22,M,2523,Marié(e),Consulting,Consultant,0,3,2,1,Non,1,2,1,2,1,Entrepreunariat,Occasionnel,2,1
3,3,2,1,3,2,3,Non,14 %,49,F,6567,Marié(e),Consulting,Tech Lead,1,16,15,11,Non,0,2,1,20,4,Transformation Digitale,Occasionnel,5,11
2,4,1,3,4,3,3,Non,12 %,43,F,4739,Célibataire,Consulting,Assistant de Direction,4,18,3,2,Non,0,2,1,28,3,Transformation Digitale,Frequent,1,2
3,3,3,4,4,3,3,Non,11 %,50,F,9208,Célibataire,Commercial,Cadre Commercial,4,16,2,2,Non,0,3,1,12,3,Marketing,Frequent,2,1
2,1,2,3,3,3,3,Oui,11 %,31,F,4559,Marié(e),Commercial,Cadre Commercial,3,4,2,2,Oui,1,2,1,20,3,Infra & Cloud,Occasionnel,2,2
3,3,3,3,3,3,3,Oui,13 %,41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,12,9,7,Non,1,2,1,9,1,Infra & Cloud,Occasionnel,0,7
3,3,1,3,4,3,4,Non,23 %,26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,8,7,Non,1,3,1,25,1,Infra & Cloud,Occasionnel,5,7
2,3,2,2,4,3,4,Non,20 %,36,M,4941,Divorcé(e),Consulting,Tech Lead,6,7,3,2,Non,2,0,1,6,2,Transformation Digitale,Occasionnel,0,1
1,1,3,4,4,3,3,Non,15 %,51,M,10650,Célibataire,Consulting,Tech Lead,2,18,4,2,Oui,0,2,1,8,4,Infra & Cloud,Frequent,0,3
4,2,2,3,3,4,3,Non,14 %,39,F,5902,Marié(e),Commercial,Cadre Commercial,4,17,15,11,Non,1,1,1,4,4,Infra & Cloud,Occasionnel,5,9
1,2,2,3,4,3,3,Non,18 %,25,M,8639,Marié(e),Commercial,Cadre Commercial,2,6,2,2,Non,0,3,1,28,3,Infra & Cloud,Occasionnel,2,2
3,3,2,4,4,1,3,Oui,19 %,30,M,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,12,11,9,Non,0,2,1,9,3,Ressources Humaines,Occasionnel,4,7
1,3,1,1,1,4,4,Non,22 %,32,F,4200,Célibataire,Consulting,Consultant,7,10,5,4,Oui,0,2,1,9,3,Transformation Digitale,Occasionnel,0,4
3,3,1,4,2,2,3,Non,13 %,45,M,3452,Célibataire,Consulting,Assistant de Direction,5,9,6,5,Non,0,2,1,29,3,Transformation Digitale,Occasionnel,0,3
4,3,2,3,2,3,4,Oui,20 %,38,F,4317,Célibataire,Consulting,Assistant de Direction,3,19,3,2,Non,0,2,1,3,5,Entrepreunariat,Occasionnel,2,2
1,3,1,3,3,2,3,Non,14 %,30,F,2632,Célibataire,Consulting,Assistant de Direction,1,5,5,4,Non,0,4,1,18,3,Infra & Cloud,Occasionnel,0,4
4,1,2,4,4,4,3,Non,17 %,32,M,4668,Divorcé(e),Commercial,Cadre Commercial,0,9,8,7,Non,3,2,1,9,2,Transformation Digitale,Frequent,0,7
4,3,1,1,4,3,3,Non,14 %,30,F,3204,Divorcé(e),Consulting,Assistant de Direction,5,8,3,2,Non,1,3,1,5,3,Entrepreunariat,Occasionnel,2,2
2,2,1,4,4,3,3,Non,13 %,30,M,2720,Célibataire,Consulting,Consultant,0,6,5,3,Non,0,3,1,2,1,Transformation Digitale,Occasionnel,1,2
4,2,4,1,2,2,3,Non,13 %,41,M,17181,Divorcé(e),Consulting,Senior Manager,4,21,7,6,Non,1,2,1,10,3,Infra & Cloud,Frequent,7,7
3,3,1,1,4,3,4,Non,21 %,41,M,2238,Marié(e),Consulting,Consultant,2,7,5,0,Non,1,2,1,9,4,Infra & Cloud,Occasionnel,1,4
2,3,1,2,4,3,3,Non,14 %,19,F,1483,Célibataire,Consulting,Consultant,1,1,1,0,Non,0,3,1,3,1,Transformation Digitale,Occasionnel,0,0
2,3,2,2,1,3,3,Non,11 %,40,F,5605,Divorcé(e),Consulting,Assistant de Direction,1,20,20,7,Non,1,2,1,26,3,Transformation Digitale,Frequent,2,13
3,3,3,2,1,3,3,Non,13 %,35,M,7295,Marié(e),Commercial,Cadre Commercial,1,10,10,8,Non,2,3,1,1,5,Marketing,Occasionnel,0,6
2,3,2,3,4,1,4,Oui,20 %,53,M,2306,Marié(e),Commercial,Représentant Commercial,2,13,7,7,Non,1,3,1,6,2,Marketing,Occasionnel,4,5
